8bf9d689-52e7-11ea-a34f-87a8bd955172	Molten iron is extremely hot, averaging about 1,500 °C. The specific heat of iron is 0.46 J/(g * °C). How much heat is released to the atmosphere when 1 kg molten iron cools to room temperature (25 °C)?	start physical_unit 0 1 heat_energy j qc_end physical_unit 0 1 7 8 temperature qc_end physical_unit 1 1 15 18 specific_heat qc_end physical_unit 0 1 36 37 temperature qc_end physical_unit 0 1 28 29 mass qc_end end
8bfc6e6e-52e7-11ea-8589-87a8bd955172	What is the volume of 4.5 g of CO2?	start physical_unit 8 8 volume l qc_end physical_unit 8 8 5 6 mass qc_end end
8bfcbc86-52e7-11ea-9842-87a8bd955172	A gas, collected by water displacement, occupies 781 cm^3 at 14 °C and 99.1 kPa. What volume will the dry gas occupy at STP?	start physical_unit 18 20 volume cm^3 qc_end c_other STP qc_end end
8bfcbc87-52e7-11ea-9de4-87a8bd955172	What is the covalent compound formula for Nitric Acid?	start chemical_formula qc_end substance 7 8 qc_end end
8bfcbc88-52e7-11ea-b56a-87a8bd955172	A container is filled with 258 liters of nitrogen gas at a temperature of 78 °C. What would the volume (in liters) of the gas be if the temperature changed to 122 °C?	start physical_unit 8 9 volume l qc_end physical_unit 8 9 5 6 volume qc_end physical_unit 8 9 14 15 temperature qc_end physical_unit 8 9 31 32 temperature qc_end end
8bfcbc89-52e7-11ea-b67f-87a8bd955172	What is the mass of 7 mol H2O2?	start physical_unit 7 7 mass g qc_end physical_unit 7 7 5 6 mole qc_end end
8bfce3c8-52e7-11ea-a9c5-87a8bd955172	What is the oxidation state of each individual carbon atom in C2O4^(-2)?	start physical_unit 6 8 oxidation_state none qc_end chemical_equation 11 11 qc_end end
8bfce3c9-52e7-11ea-b72b-87a8bd955172	How do you find the pressure of 214 moles air in a 25 L scuba tank at 290 K?	start physical_unit 9 9 pressure atm qc_end physical_unit 14 15 12 13 volume qc_end physical_unit 9 9 17 18 temperature qc_end physical_unit 9 9 7 8 mole qc_end end
8bfd0aae-52e7-11ea-968c-87a8bd955172	In the reaction FeCl2 + 2 NaOH -> Fe(OH)2(s) + 2 NaCl, if 6 moles of FeCl2 are added to 6 moles of NaOH, how many moles of FeCl2 would be used up in the reaction?	start physical_unit 3 3 mole mol qc_end physical_unit 3 3 13 14 mole qc_end physical_unit 6 6 13 14 mole qc_end end
8bfd0aaf-52e7-11ea-b762-87a8bd955172	How do you balance H3PO4 + HCl -> PCl5 + H2O?	start chemical_equation qc_end chemical_equation 4 10 qc_end end
8bfd31ec-52e7-11ea-9891-87a8bd955172	If it takes 54 mL of 0.100 M NaOH to neutralize 125 mL of an HCl solution, what is the concentration of the HCl?	start physical_unit 15 16 concentration mol/l qc_end physical_unit 15 16 11 12 volume qc_end end
8bfd58d8-52e7-11ea-9aab-87a8bd955172	A 5 g mass of polystyrene exerts an osmotic pressure of 1.21 kPa at a temperature of 523 K. What is the molecular mass of the polystyrene?	start physical_unit 5 5 molecular_weight g/mol qc_end physical_unit 5 5 1 2 mass qc_end physical_unit 5 5 11 12 osmotic_pressure qc_end physical_unit 5 5 17 18 temperature qc_end end
8bff069c-52e7-11ea-bb39-87a8bd955172	A 20 milliliters sample of 0.60 M HCI is diluted with water to a volume of 40 milliliters. What is the new concentration of the solution?	start physical_unit 24 25 concentration mol/l qc_end substance 11 11 qc_end end
8bff2d9e-52e7-11ea-9ed6-87a8bd955172	Given....2 Mg(s) + O2(g) -> 2 MgO(s); DelataH_{{rxn}} = -1203 kJ/mol. What enthalpy is associated with the combustion of FOUR moles of magnesium metal?	start physical_unit 22 23 enthalpy kj qc_end chemical_equation 0 6 qc_end physical_unit 7 7 9 10 deltah qc_end end
8bff54c0-52e7-11ea-ae2f-87a8bd955172	What mass of oxygen is needed for the complete combustion of 8.90 × 10^(−3) g of methane?	start physical_unit 3 3 mass g qc_end c_other OTHER qc_end physical_unit 16 16 11 14 mass qc_end end
8c0104b6-52e7-11ea-b8ed-87a8bd955172	A 0.967 g mass of an oxide of phosphorus contains 0.422g of phosphorus. What is its empirical formula?	start chemical_formula qc_end physical_unit 6 8 1 2 mass qc_end physical_unit 8 8 10 10 mass qc_end end
8c01297e-52e7-11ea-bd76-87a8bd955172	The combustion of a gaseous alkane produces 7 L of carbon dioxide plus water vapour. If the original volume of alkane plus oxygen was 6 L, what is the formula of the alkane?	start chemical_formula qc_end c_other OTHER qc_end physical_unit 10 11 7 8 volume qc_end physical_unit 20 22 24 25 volume qc_end end
8c01297f-52e7-11ea-a3fb-87a8bd955172	What is the molecular mass of a compound if 560 mL have a mass of 1.10 g at STP?	start physical_unit 6 7 molecular_weight g/mol qc_end physical_unit 6 7 9 10 volume qc_end physical_unit 6 7 15 16 mass qc_end c_other STP qc_end end
8c0177cc-52e7-11ea-b9bf-87a8bd955172	What is the total number of different elements present in NH4NO3?	start physical_unit 6 7 number none qc_end chemical_equation 10 10 qc_end end
8c0177cd-52e7-11ea-853b-87a8bd955172	What is the molarity of a solution with 0.2 moles of potassium permanganate (KMnO4) dissolved in enough water to make a 500.0 mL solution?	start physical_unit 6 6 molarity mol/l qc_end physical_unit 13 13 8 9 mole qc_end substance 17 17 qc_end end
8c08f2d8-52e7-11ea-97ab-87a8bd955172	(8.000 × 10^(-1)) g of a gas is collected in the lab and found to have a volume of (8.9000 × 10^(-1)) L when the pressure is (9.600 × 10^1) kPa and the temperature is (3.00 × 10^2) K. According to this collected data what is the molar mass of the gas?	start physical_unit 50 51 molar_mass g/mol qc_end end
