Partial Pressure	partial_pressure
PH	ph
Heat energy	heat_energy
Kw	kw
Pressure1	pressure
Heat2	heat_energy
Molar enthalpy of vaporization	molar_enthalpy_of_vaporization
m/v	mass_concentration
absorptivity	absorptivity
Amount of energy	heat_energy
Molar mass	molar_mass
Time2	time
O.N	o.n
pH1	ph
Heat released	heat_energy
Cg	cp
Prcentage	percent
Molarity1	molarity
Ka2	ka
Weight2	mass
Molar quantities	mole
value	value
Removed heat	heat_energy
Yield	percent_yield
Osmotic pressure1	osmotic_pressure
Temperture	temperature
DeltaG^0	deltag^0
Avogadro constant	avogadro constant
Concentration	concentration
Total Pressure	total pressure
Steric number	steric_number
oxidation number	oxidation number
Coefficient	coefficient
confined volume	volume
Increased temperature	temperature
Enthalpy of formation	enthalpy_of_formation
Percentage	percent
Barometric pressure2	barometric pressure
Amount of heat needed	heat_energy
Path length	path_length
Temperature raised	temperature
Equivalent weight	equivalent_weight
Number1	number
Standard EMF	standard emf
Percent	percent
Volume1	volume
Oxidation state	oxidation_state
completed time	time
Percentage3	percent
MM	molar_mass
Partial pressure2	partial pressure
weight	mass
Molar heat	molar_heat
Time1	time
density	density
Molar concentration	molarity
Specific heat	specific_heat
Charge1	charge
Percentage2	percent
Enthalpy	enthalpy
volume2	volume
Heat given off	heat_energy
molarity	molarity
Mass3	mass
Composition by mass	composition_by_mass
Kelvin temperature2	temperature
Mole2	mole
Molarity percent1	molarity_percent
Required heat	heat_energy
Changed temperature	temperature
Increased boiling point	boiling_point_temperature
Total pressure	total_pressure
Total number	number
Percentage yield	percent_yield
Value	value
Percent2	percent
Charge2	charge
Kf	kf
Oxidation number	oxidation_number
Density	density
Required energy	energy
kinetic energy	kinetic_energy
Maximum amount	maximum_amount
percent yield	percent_yield
required energy	energy
Morality	molarity
Total volume	volume
Released energy1	heat_energy
Temperature3	temperature
osmolarity	osmolarity
Absorberd heat	heat_energy
PH2	ph
Heat capacity	heat_capacity
Energy took	energy
Minimum energy	energy
Standard enthalpy change	standard_enthalpy_change
Percent concentration	molarity_percent
Osmotic pressure	osmotic_pressure
Molar ratio	molar_ratio
Current	electric_current
Time	time
Enthalpy of sublimation	enthalpy_of_sublimation
Percentage2 by mass	mass_percent
Mass1	mass
Tf	freezing_point_temperature
Concentration3	concentration
effused time	time
%	percent
Constant k	equilibrium_constant_k
Energy value	energy
concentration2	concentration
Added energy	energy
Specific heat capacity	specific_heat_capacity
Equilibrium constant	equilibrium_constant_k
Temperature	temperature
Concentration2	concentration
Amount	mass
Molecular mass	molecular_weight
Percent yield	percent_yield
theoretical yield	theoretical_yield
Pressure	pressure
quantity	quantity
acid concentration	acid_concentration
Pressure at the surface	pressure
Percent ionization	percent_ionization
Needed energy	energy
Longest wavelength	longest_wavelength
Temperature4	temperature
Normality	normality
Volume3	volume
Kp	kp
Taken heat	heat_energy
C_{{p}}	heat_capacity_ratio
Raised PPM	concentration
Needed heat	heat_energy
specific heat	specific_heat
Molecular weight	molecular_weight
Dosage	mass
Depth	depth
Released energy2	heat_energy
Rate constant	reaction_rate_constant
Number	number
Reaction enthalpy	reaction_enthalpy
Weight1	mass
Added heat	heat_energy
Concentration in percent by mass	mass_percent
Percentage increase	percent
Increased temperature1	temperature
Heat needed	heat_energy
deltaH	deltah
Barometric pressure	barometric_pressure
molar mass	molar mass
Enthalpy of fusion	enthalpy_of_fusion
rate constant	reaction_rate_constant
Rate	percent
Standard enthalpy	standard_enthalpy
Volume4	volume
Voltage	voltage
Energy absorbed	heat_energy
Kb	kb
Degree of dissociation	degree_of_dissociation
Equilibrium concentration	equilibrium_concentration
Heat1	heat_energy
Velocity	velocity
Mass	mass
Enthalpy of vaporization	enthalpy_of_vaporization
Heat	heat_energy
DeltaH	deltah
Ionization energy	ionization_energy
Concentration1	concentration
Ksp	equilibrium_constant_k
Vapor pressure	vapor_pressure
Evaporated volume	volume
n	state_n
PH1	ph
Kinetic energy	kinetic_energy
Mass %	mass_percent
Half-life	half-life
concentration	concentration
Energy	energy
Osmotic pressure2	osmotic_pressure
mass	mass
DeltaH3	deltah
Total pressure1	total pressure
rate law	rate_law
Atomic mass	atomic_mass
mole	mole
Mass2	mass
mole fraction	mole_fraction
[H3O+]	[h3o+]
Heat energy absorbed	heat_energy
needed heat	heat_energy
Released heat	heat_energy
