564e9080-6de6-11ea-9b07-ccda262736ce	What is the volume of 4.5 g of CO2?	2.3 L	2.3 L
5653e91e-6de6-11ea-816a-ccda262736ce	What is the concentration of 10.00 mL of HBr if it takes 5 mL of a 0.253 M LiOH solution to neutralize it?	0.1 mol/L	0.1 mol/L
5653e91f-6de6-11ea-912b-ccda262736ce	What is the pH of a 0.01 M solution of the strong acid HClO4, perchloric acid?	2	2
5653e920-6de6-11ea-a856-ccda262736ce	A gas, collected by water displacement, occupies 781 cm^3 at 14 °C and 99.1 kPa. What volume will the dry gas occupy at STP?	736.67 cm^3	736.67 cm^3
5653e921-6de6-11ea-9667-ccda262736ce	What is the covalent compound formula for Nitric Acid?	NO2OH	NO2OH
5653e922-6de6-11ea-83a2-ccda262736ce	A container is filled with 258 liters of nitrogen gas at a temperature of 78 °C. What would the volume (in liters) of the gas be if the temperature changed to 122 °C?	403.54 liters	403.54 liters
5653e923-6de6-11ea-8d66-ccda262736ce	What is the mass of 7 mol H2O2?	238 g	238 g
5653e924-6de6-11ea-893d-ccda262736ce	What is the oxidation state of each individual carbon atom in C2O4^(-2)?	+3	+3
56541012-6de6-11ea-a0fd-ccda262736ce	In the reaction FeCl2 + 2 NaOH -> Fe(OH)2(s) + 2 NaCl, if 6 moles of FeCl2 are added to 6 moles of NaOH, how many moles of FeCl2 would be used up in the reaction?	3 moles	3 moles
56541013-6de6-11ea-821f-ccda262736ce	How do you balance H3PO4 + HCl -> PCl5 + H2O?	H3PO4 + 5 HCl -> PCl5 + 4 H2O	H3PO4 + 5 HCl -> PCl5 + 4 H2O
56541014-6de6-11ea-9ec2-ccda262736ce	If it takes 54 mL of 0.100 M NaOH to neutralize 125 mL of an HCl solution, what is the concentration of the HCl?	0.04 M	0.04 M
56541015-6de6-11ea-8640-ccda262736ce	A 5 g mass of polystyrene exerts an osmotic pressure of 1.21 kPa at a temperature of 523 K. What is the molecular mass of the polystyrene?	737 g/mol	737 g/mol
56541016-6de6-11ea-b674-ccda262736ce	Given....2 Mg(s) + O2(g) -> 2 MgO(s); DelataH_{{rxn}} = -1203 kJ/mol. What enthalpy is associated with the combustion of FOUR moles of magnesium metal?	- 2406 kJ	- 2406 kJ
56541017-6de6-11ea-8d7c-ccda262736ce	What mass of oxygen is needed for the complete combustion of 8.90 × 10^(−3) g of methane?	0.04 g	0.04 g
56541018-6de6-11ea-879a-ccda262736ce	A sample of carbon monoxide occupies 2.44 L at 295.0 K and 771 torr. Find its volume at -47 degrees Celsius and 350 torr?	4.18 L	4.18 L
56541019-6de6-11ea-adf1-ccda262736ce	The combustion of a gaseous alkane produces 7 L of carbon dioxide plus water vapour. If the original volume of alkane plus oxygen was 6 L, what is the formula of the alkane?	C3H8	C3H8
5654101a-6de6-11ea-8f54-ccda262736ce	What is the molecular mass of a compound if 560 mL have a mass of 1.10 g at STP?	44.59 g/mol	44.59 g/mol
5654101b-6de6-11ea-b620-ccda262736ce	What is the total number of different elements present in NH4NO3?	3	3
5654101c-6de6-11ea-a324-ccda262736ce	What is the molarity of a solution with 0.2 moles of potassium permanganate (KMnO4) dissolved in enough water to make a 500.0 mL solution?	0.40 M	0.40 M
565435ec-6de6-11ea-8a9d-ccda262736ce	(8.000 × 10^(-1)) g of a gas is collected in the lab and found to have a volume of (8.9000 × 10^(-1)) L when the pressure is (9.600 × 10^1) kPa and the temperature is (3.00 × 10^2) K. According to this collected data what is the molar mass of the gas?	23.4 g/mol	23.4 g/mol
565435ed-6de6-11ea-b275-ccda262736ce	At constant temperature, a 3.8 L volume of gas at 765 mmHg, was expanded to give a pressure of 0.500 atm. What is the new volume?	7.60 L	7.60 L
565435ee-6de6-11ea-b6c0-ccda262736ce	Calculate the pH during a titration when 9.54 mL of a 0.15 M HCl solution has reacted with 22.88 mL of 0.14 M NaOH?	12.74	12.74
565435ef-6de6-11ea-b4d2-ccda262736ce	You have a freshly prepared 0.01 M ascorbic acid (vitamin C) solution. Each liter of this solution contains how many ascorbic acid molecules?	6 × 10^21	6 × 10^21
565435f0-6de6-11ea-a533-ccda262736ce	2.30 L of air at 4.53 atm is expanded to 2219 mmHg. What is the final volume in mL?	3570 mL	3570 mL
565435f1-6de6-11ea-b910-ccda262736ce	You have 1500.0 g of a bleach solution. The percent by mass of the solute sodium hypochlorite, NaOCl, is 3.62%. How many grams of NaOCl are in the solution?	54.3 grams	54.3 grams
565435f2-6de6-11ea-a3e6-ccda262736ce	At conditions of 785.0 torr of pressure and 15.0 °C temperature, a gas occupies a volume of 45.5 mL. What will be the volume of the same gas at 745.0 torr and 30.0 °C ?	50.0 mL	50.0 mL
565435f3-6de6-11ea-b445-ccda262736ce	What is the formality of a 1.24 g mass of copper sulfate pentahydrate in a 100 cm^3 volume of solution?	0.05 mol/L	0.05 mol/L
565435f4-6de6-11ea-afec-ccda262736ce	What is the formula for tin (IV) nitride?	Sn3N4	Sn3N4
565435f5-6de6-11ea-8124-ccda262736ce	The pH of a solution is 7.0. What is the pOH?	7.0	7.0
565435f6-6de6-11ea-b9c9-ccda262736ce	How many oxygen atoms in 6 mol of glucose?	2.17 × 10^25	2.17 × 10^25
565435f7-6de6-11ea-beef-ccda262736ce	What is the chemical formula for the combination of cobalt (II) and chlorine?	CoCl2	CoCl2
565435f8-6de6-11ea-9051-ccda262736ce	If the volume of the gas in a gas chamber is 500 mL at 277 K, what will be the volume of the gas in the chamber if the temperature is at 300 K?	541.5 mL	541.5 mL
565435f9-6de6-11ea-aee3-ccda262736ce	Aluminum sulfate, Al2(SO4)3, decomposes to form aluminum oxide, Al2O3, and sulfur trioxide, SO3. How do you write the balanced equation for this reaction?	Al2(SO4)3 -> Al2O3 + 3 SO3	Al2(SO4)3 -> Al2O3 + 3 SO3
565435fa-6de6-11ea-8419-ccda262736ce	What mass of sodium chloride is present in a 250 mL volume of 5.0 mol/L NaCl(aq)?	73.05 g	73.05 g
565435fb-6de6-11ea-a7f3-ccda262736ce	A student performs an experiment that produces 5.78 grams of silver chloride. He calculated that 7.25 grams of silver chloride should have precipitated if all of the limiting reactant reacted. What is his percent yield?	79.7%	79.7%
56545d14-6de6-11ea-acff-ccda262736ce	How would sodium carbonate react with nitric acid?	Na2CO3(aq) + 2 HNO3(aq) -> 2 NaNO3(aq) + CO2(g)↑ + H2O(l)	Na2CO3(aq) + 2 HNO3(aq) -> 2 NaNO3(aq) + CO2(g)↑ + H2O(l)
56545d15-6de6-11ea-a14c-ccda262736ce	With respect to NaOH(s), what is the concentration of 15.5 g mass of sodium hydroxide dissolved in a 650 mL volume of water?	0.6 mol/L	0.6 mol/L
56545d16-6de6-11ea-b69e-ccda262736ce	How many moles of silver(I) bromide are produced when 6.45 moles of sodium bromide take part in the reaction? NaBr(aq) + AgNO3(aq) -> AgBr(s)↓ + NaNO3(aq)	6.45 moles	6.45 moles
56545d17-6de6-11ea-a502-ccda262736ce	A 0.596 g sample of a gaseous compound containing only boron and hydrogen occupied 484 cm^3 at STP. When ignited in excess oxygen all the hydrogen was recovered as 1.17 g of water, and all the boron was present as B2O3. What is the empirical formula?	BH3	BH3
56545d18-6de6-11ea-a44e-ccda262736ce	When steam (hot water) is passed over iron, hydrogen gas and iron (lll) oxide are formed. What mass of steam would be needed to react completely with 100.0 g of iron?	48.4 g	48.4 g
